,group,visited
0,A,0
1,B,0
2,B,0
3,A,0
4,A,0
5,B,0
6,A,1
7,B,0
8,A,0
9,A,0
10,B,0
11,B,0
12,B,0
13,A,0
14,A,0
15,B,0
16,A,0
17,A,0
18,B,0
19,B,0
20,B,0
21,A,0
22,A,0
23,A,0
24,B,0
25,A,0
26,B,1
27,A,0
28,B,0
29,B,0
30,B,0
31,B,0
32,B,0
33,B,0
34,A,0
35,A,0
36,B,0
37,A,0
38,B,0
39,A,0
40,A,0
41,A,0
42,B,0
43,B,0
44,A,0
45,B,0
46,A,0
47,B,0
48,A,0
49,B,0
50,A,0
51,A,0
52,B,0
53,B,0
54,A,0
55,B,0
56,B,0
57,B,0
58,B,1
59,A,0
60,B,0
61,A,0
62,B,0
63,A,0
64,A,0
65,A,0
66,B,0
67,A,0
68,B,0
69,B,1
70,A,0
71,B,0
72,A,0
73,A,0
74,A,0
75,A,0
76,B,0
77,B,0
78,B,0
79,B,1
80,A,0
81,A,0
82,A,0
83,A,0
84,B,1
85,A,0
86,A,0
87,A,0
88,B,0
89,B,0
90,A,0
91,B,0
92,B,0
93,B,0
94,A,0
95,B,1
96,A,0
97,B,1
98,B,0
99,A,0
100,A,0
101,B,0
102,A,0
103,A,0
104,B,0
105,A,0
106,A,0
107,A,0
108,A,0
109,A,0
110,B,0
111,B,0
112,A,0
113,A,0
114,B,0
115,B,0
116,A,0
117,B,0
118,B,0
119,B,0
120,A,0
121,A,0
122,A,0
123,A,0
124,A,0
125,A,0
126,A,0
127,A,0
128,A,0
129,A,0
130,B,0
131,B,0
132,A,0
133,B,0
134,A,0
135,A,0
136,B,1
137,A,0
138,A,0
139,B,1
140,A,1
141,B,0
142,A,1
143,B,0
144,B,0
145,B,0
146,B,0
147,A,0
148,B,1
149,B,0
150,B,0
151,B,0
152,B,0
153,B,0
154,B,0
155,B,1
156,B,1
157,B,0
158,B,0
159,A,0
160,B,0
161,B,0
162,B,0
163,A,0
164,B,1
165,B,0
166,A,0
167,A,1
168,A,0
169,A,0
170,A,0
171,B,0
172,A,0
173,B,0
174,B,0
175,A,0
176,B,0
177,A,0
178,B,0
179,A,1
180,B,0
181,B,0
182,A,0
183,A,0
184,B,0
185,B,0
186,B,1
187,A,0
188,B,0
189,A,0
190,B,0
191,A,0
192,A,0
193,A,0
194,A,0
195,A,0
196,B,0
197,A,0
198,A,0
199,A,0
200,B,0
201,A,0
202,B,1
203,A,0
204,A,0
205,B,0
206,A,0
207,A,0
208,B,0
209,A,0
210,B,0
211,B,0
212,A,0
213,A,0
214,A,1
215,B,0
216,A,1
217,A,0
218,A,0
219,B,0
220,A,0
221,A,0
222,B,0
223,A,0
224,A,0
225,B,0
226,A,0
227,A,0
228,B,0
229,B,0
230,B,0
231,A,0
232,B,0
233,A,1
234,B,0
235,A,0
236,B,0
237,B,0
238,A,1
239,B,0
240,B,0
241,B,0
242,B,0
243,A,0
244,A,0
245,B,0
246,A,0
247,A,0
248,B,0
249,B,0
250,B,0
251,A,1
252,B,0
253,B,0
254,B,0
255,A,1
256,A,0
257,B,0
258,A,0
259,B,0
260,B,0
261,B,1
262,A,0
263,B,1
264,B,0
265,B,0
266,A,1
267,B,0
268,A,0
269,B,0
270,A,0
271,A,0
272,B,0
273,A,0
274,B,0
275,A,0
276,A,0
277,A,0
278,B,0
279,B,0
280,A,0
281,B,0
282,B,1
283,A,0
284,B,0
285,B,0
286,A,0
287,B,0
288,A,0
289,A,0
290,B,1
291,A,0
292,A,0
293,A,0
294,B,0
295,A,0
296,A,0
297,A,0
298,B,0
299,B,0
300,A,1
301,B,0
302,B,1
303,B,0
304,A,0
305,B,0
306,A,0
307,A,0
308,B,0
309,A,0
310,B,1
311,A,0
312,A,0
313,A,0
